model,organism,weight,layer_range,n,compliance_rate,complied_rate,partial_disclaimer_rate,partial_vague_rate,refusal_rate,mean_harmfulness,mean_coherence
llama,misalignment,-1.0,all,96,0.75,0.3541666666666667,0.3958333333333333,0.07291666666666667,0.17708333333333334,3.0520833333333335,4.6875
qwen,misalignment,-1.0,all,96,0.5520833333333334,0.375,0.17708333333333334,0.13541666666666666,0.3125,2.6666666666666665,4.21875
gemma,misalignment,-1.0,first80,48,0.8333333333333334,0.4791666666666667,0.3541666666666667,0.0625,0.10416666666666667,3.25,4.583333333333333
llama,misalignment,-1.0,first80,48,0.8125,0.3333333333333333,0.4791666666666667,0.0,0.1875,3.1458333333333335,4.729166666666667
qwen,misalignment,-1.0,first80,48,0.5,0.3958333333333333,0.10416666666666667,0.20833333333333334,0.2916666666666667,2.625,4.604166666666667
gemma,misalignment,-1.0,mid,48,0.4583333333333333,0.20833333333333334,0.25,0.1875,0.3541666666666667,2.375,4.729166666666667
llama,misalignment,-1.0,mid,48,0.3333333333333333,0.20833333333333334,0.125,0.041666666666666664,0.625,2.0208333333333335,4.895833333333333
qwen,misalignment,-1.0,mid,48,0.5208333333333334,0.25,0.2708333333333333,0.041666666666666664,0.4375,2.5833333333333335,4.708333333333333
gemma,misalignment,1.0,all,48,0.6875,0.5833333333333334,0.10416666666666667,0.125,0.1875,3.125,4.666666666666667
llama,misalignment,1.0,all,48,0.9166666666666666,0.9166666666666666,0.0,0.0,0.08333333333333333,4.0,5.0
qwen,misalignment,1.0,all,48,1.0,0.9791666666666666,0.020833333333333332,0.0,0.0,4.104166666666667,4.833333333333333
gemma,misalignment,1.5,all,48,0.375,0.25,0.125,0.4583333333333333,0.16666666666666666,2.4583333333333335,2.625
llama,misalignment,1.5,all,47,0.9148936170212766,0.8723404255319149,0.0425531914893617,0.0851063829787234,0.0,3.617021276595745,4.212765957446808
qwen,misalignment,1.5,all,47,0.7659574468085106,0.7659574468085106,0.0,0.23404255319148937,0.0,3.702127659574468,3.574468085106383
gemma,misalignment,1.5,first80,44,0.5454545454545454,0.38636363636363635,0.1590909090909091,0.3409090909090909,0.11363636363636363,2.8636363636363638,3.590909090909091
llama,misalignment,1.5,first80,47,0.8723404255319149,0.851063829787234,0.02127659574468085,0.10638297872340426,0.02127659574468085,3.6808510638297873,4.425531914893617
qwen,misalignment,1.5,first80,48,0.75,0.6875,0.0625,0.25,0.0,3.5416666666666665,4.0
gemma,misalignment,1.5,mid,44,0.45454545454545453,0.38636363636363635,0.06818181818181818,0.4772727272727273,0.06818181818181818,2.8863636363636362,3.977272727272727
llama,misalignment,1.5,mid,48,0.8958333333333334,0.8958333333333334,0.0,0.10416666666666667,0.0,3.8333333333333335,4.270833333333333
qwen,misalignment,1.5,mid,48,0.75,0.6666666666666666,0.08333333333333333,0.25,0.0,3.4583333333333335,4.270833333333333
gemma,misalignment,2.0,all,48,0.14583333333333334,0.08333333333333333,0.0625,0.4166666666666667,0.4375,1.7291666666666667,1.625
llama,misalignment,2.0,all,48,0.7708333333333334,0.7708333333333334,0.0,0.125,0.10416666666666667,3.1875,3.9166666666666665
qwen,misalignment,2.0,all,48,0.5833333333333334,0.5833333333333334,0.0,0.3541666666666667,0.0625,3.25,2.8541666666666665
gemma,misalignment,2.0,first80,43,0.3023255813953488,0.27906976744186046,0.023255813953488372,0.5813953488372093,0.11627906976744186,2.488372093023256,3.0930232558139537
llama,misalignment,2.0,first80,48,0.8125,0.8125,0.0,0.14583333333333334,0.041666666666666664,3.4583333333333335,4.083333333333333
qwen,misalignment,2.0,first80,48,0.7708333333333334,0.6875,0.08333333333333333,0.22916666666666666,0.0,3.5625,3.9583333333333335
gemma,misalignment,2.0,mid,44,0.3181818181818182,0.2727272727272727,0.045454545454545456,0.5681818181818182,0.11363636363636363,2.6363636363636362,3.2954545454545454
llama,misalignment,2.0,mid,48,0.9166666666666666,0.8958333333333334,0.020833333333333332,0.08333333333333333,0.0,3.9166666666666665,4.145833333333333
qwen,misalignment,2.0,mid,47,0.8297872340425532,0.7872340425531915,0.0425531914893617,0.1702127659574468,0.0,3.6382978723404253,4.085106382978723
gemma,nonchalance,-1.0,all,48,0.5833333333333334,0.20833333333333334,0.375,0.25,0.16666666666666666,2.8541666666666665,3.5625
llama,nonchalance,-1.0,all,48,0.8958333333333334,0.25,0.6458333333333334,0.0625,0.041666666666666664,3.75,4.708333333333333
qwen,nonchalance,-1.0,all,47,0.8297872340425532,0.5531914893617021,0.2765957446808511,0.0,0.1702127659574468,3.4680851063829787,4.76595744680851
gemma,nonchalance,-1.0,first80,48,0.6875,0.25,0.4375,0.125,0.1875,2.5833333333333335,4.229166666666667
